,state,year,score_legis
27,Alabama,2018,4.35
57,Alaska,2018,1.25
87,Arizona,2018,3.2
117,Arkansas,2018,3.85
147,California,2018,41.25000000000001
177,Colorado,2018,11.600000000000001
207,Connecticut,2018,33.400000000000006
237,Delaware,2018,15.15
267,Florida,2018,11.7
297,Georgia,2018,2.45
327,Hawaii,2018,32.55
357,Idaho,2018,0.4
387,Illinois,2018,23.75
417,Indiana,2018,5.1000000000000005
447,Iowa,2018,8.5
477,Kansas,2018,2.8
507,Kentucky,2018,2.75
537,Louisiana,2018,8.0
567,Maine,2018,4.4
597,Maryland,2018,25.55
627,Massachusetts,2018,38.3
657,Michigan,2018,9.15
687,Minnesota,2018,14.85
717,Mississippi,2018,0.8
747,Missouri,2018,0.6000000000000001
777,Montana,2018,1.6
807,Nebraska,2018,7.3
837,Nevada,2018,7.85
867,New Hampshire,2018,3.6500000000000004
897,New Jersey,2018,29.4
927,New Mexico,2018,3.0
957,New York,2018,27.150000000000002
987,North Carolina,2018,11.55
1017,North Dakota,2018,2.75
1047,Ohio,2018,5.5
1077,Oklahoma,2018,3.45
1107,Oregon,2018,16.050000000000004
1137,Pennsylvania,2018,17.099999999999998
1167,Rhode Island,2018,22.6
1197,South Carolina,2018,4.2
1227,South Dakota,2018,2.3499999999999996
1257,Tennessee,2018,10.5
1287,Texas,2018,6.700000000000001
1317,Utah,2018,5.750000000000001
1347,Vermont,2018,7.750000000000002
1377,Virginia,2018,4.25
1407,Washington,2018,18.35
1437,West Virginia,2018,6.75
1467,Wisconsin,2018,7.8500000000000005
1497,Wyoming,2018,2.5500000000000003
